name,category,address,phone,lat,lng,description
"Ingenio Tres Valles","Industria","","",18.2341,-96.1412,"★4.5 · Principal motor económico; procesador de caña."
"Bio-Pappel (La Papelera)","Industria","","",18.2384,-96.1215,"★4.3 · Planta líder en fabricación de papel y cartón."
"Parque Miguel Hidalgo","Plaza","","",18.2325,-96.1364,"★4.4 · Parque central y punto de reunión social."
"Palacio Municipal","Gobierno","","",18.2322,-96.1368,"★4.1 · Sede del ayuntamiento de Tres Valles."
"Bistro Mediterráneo","Restaurante","","",18.2330,-96.1355,"★4.7 · Cocina mediterránea y café gourmet."
"Hotel Fiesta Palmar","Hotel","","",18.2410,-96.1320,"★4.0 · Hospedaje con servicios completos."
"Mercado Guadalupe Victoria","Comercio","","",18.2315,-96.1375,"★4.2 · Mercado tradicional de productos frescos."
"La Combi Wings 47","Restaurante","","",18.2345,-96.1340,"★4.5 · Especialidad en alitas y snacks."
"Parroquia de Cristo Rey","Iglesia","","",18.2328,-96.1358,"★4.7 · Templo principal de la ciudad."
"Bodega Aurrera","Comercio","","",18.2371,-96.1352,"★4.1 · Tienda de autoservicio y abarrotes."
"El Sabor y el Antojo","Restaurante","","",18.2318,-96.1360,"★4.8 · Comida tradicional veracruzana."
"Unidad Deportiva","Deporte","","",18.2250,-96.1330,"★4.2 · Canchas de fútbol y atletismo."
"Hotel Real Del Valle","Hotel","","",18.2355,-96.1390,"★3.9 · Hospedaje céntrico y accesible."
"Bulepark","Recreación","","",18.2298,-96.1415,"★4.3 · Área recreativa familiar."
"Gasolinera Pemex","Servicio","","",18.2350,-96.1405,"★4.1 · Estación de combustible centro."
"CECYTEV Plantel 01","Educación","","",18.2412,-96.1155,"★4.6 · Colegio de Estudios Científicos y Tecnológicos del Estado."
"Café Los Portales","Restaurante","","",18.2331,-96.1362,"★4.3 · Desayunos y café regional."
"Clínica IMSS","Salud","","",18.2360,-96.1385,"★3.8 · Servicios de salud pública."
"Veterinaria Villa Rica","Servicio","","",18.2352,-96.1348,"★4.6 · Cuidado animal y vacunas."
"OXXO Av. Juárez","Tienda","","",18.2335,-96.1365,"★4.1 · Tienda de conveniencia 24h."
"Panificadora la Estrella","Comercio","","",18.2305,-96.1378,"★4.6 · Pan tradicional recién horneado."
"Ferretería El Martillo","Comercio","","",18.2348,-96.1398,"★4.4 · Artículos de construcción."
"Papelería El Estudiante","Comercio","","",18.2310,-96.1380,"★4.5 · Artículos escolares y copias."
"Llantera El Rayo","Servicio","","",18.2375,-96.1430,"★4.2 · Servicio de neumáticos."
"Cyber Café Conéctate","Servicio","","",18.2319,-96.1355,"★4.3 · Internet y servicios digitales."
"Lavandería Burbujas","Servicio","","",18.2338,-96.1342,"★4.4 · Lavado y planchado."
"Carpintería El Cedro","Servicio","","",18.2295,-96.1405,"★4.6 · Muebles de madera a medida."
"Tacos El Güero","Restaurante","","",18.2308,-96.1362,"★4.5 · Puesto de tacos nocturno popular."
"Auditorio Municipal","Cultura","","",18.2329,-96.1367,"★4.1 · Sede de eventos comunitarios."
"Rosticería La Dorada","Restaurante","","",18.2337,-96.1373,"★4.3 · Pollos rostizados y complementos."
"Farmacia Similares","Salud","","",18.2320,-96.1378,"★4.2 · Medicamentos y consulta médica."
"Hielería Tres Valles","Servicio","","",18.2388,-96.1402,"★4.5 · Hielo en barra y bolsa."
"Centro Cristiano","Iglesia","","",18.2282,-96.1385,"★4.5 · Lugar de culto y reunión."
"Zapatería El Paso","Comercio","","",18.2324,-96.1378,"★4.0 · Calzado escolar y diario."
"Refaccionaria Motos","Servicio","","",18.2346,-96.1387,"★4.3 · Piezas para motocicletas."
"Consultorio Dental","Salud","","",18.2330,-96.1359,"★4.7 · Servicios odontológicos."
"Carnicería San Juan","Comercio","","",18.2308,-96.1385,"★4.5 · Carne y derivados de calidad."
"Sastrería El Corte","Servicio","","",18.2334,-96.1352,"★4.7 · Confección y arreglos."
"Pinturas Comex","Comercio","","",18.2343,-96.1391,"★4.5 · Pinturas e impermeabilizantes."
"Bazar Ropa Usada","Comercio","","",18.2311,-96.1396,"★4.0 · Ropa de segunda mano."
"Escuela Secundaria","Educación","","",18.2280,-96.1350,"★4.3 · Educación nivel secundaria."
"Casa de Cultura","Cultura","","",18.2328,-96.1379,"★4.5 · Talleres artísticos."
"Cremería El Valle","Comercio","","",18.2311,-96.1376,"★4.5 · Quesos y lácteos."
"Taller de Soldadura","Servicio","","",18.2385,-96.1412,"★4.4 · Trabajos de herrería."
"Estética Unisex","Servicio","","",18.2329,-96.1345,"★4.7 · Belleza y peluquería."
"Taller de Bicicletas","Servicio","","",18.2307,-96.1395,"★4.4 · Reparación de bicis."
"Mecánico El Veloz","Servicio","","",18.2370,-96.1425,"★4.1 · Taller mecánico general."
"Salón El Jardín","Servicio","","",18.2290,-96.1325,"★4.3 · Eventos y fiestas."
"Biblioteca Pública","Cultura","","",18.2327,-96.1375,"★4.4 · Consulta de libros y estudio."
